公司名称,职位名称,薪资,学历要求,职位描述,
南宁星瀚网络科技有限公司,总经理,50-80K,大专,1．根据公司战略目标制定经营方案；2．负责公司的发展方向，业务研究3．负责制定落实公司年度工作计划；4．具备中高层管理经验；5．形象良好，较强的组织能力、协调、沟通能力及人际交往能力，擅长商务关系和活动组织执行；6．工作效率高、认真、细致、责任心强、抗压能力强、有良好的团队意识，保密意识；7．良好的文字功底善于总结，熟练使用各类办公软件和办公设备；8.拥有全国性渠道、代理商、客户资源，有快消品、大健康、医美或美业、互联网、社交电商、金融、微商、直销、新零售、保险、新媒体从业经验为佳,南宁青秀区维也纳国际酒店(南宁东站店)三楼
深圳市引客网络科技有限公司,抖音合伙人（华东大区）/黄金赛道,30-60K,大专,23年开始全国业务拓展，抢占市场，与时间赛跑！蓝海赛道，优质项目。选择大于努力！负责业务全盘操盘，要懂抖音短视频优化和信息流！对抖音行业感兴趣，有过创业经验或者高管经历的优先我们需要您！搭建自有团队（总部给予辅助性支持）独立运营管理，自己当老板！欢迎有创业想法或业务嫁接的，联系我们！想低资创业，低风险高收益，并且没有稳定创业项目的，联系我们！总部扶持力度，前所未有：一．团队搭建：招聘辅助指导产品培训行业知识销售二．业务拓展：获客渠道营销思路销售话术三业务管理：日常管理规范＆表格模板员工劳动合同模板薪酬制度模板客户合作合同模板四.运营：产品更新培训日常使用问题解答专业培训服务,深圳龙华区港深联汇大厦209-210
长沙县星沙谦汐市场营销策划服务部,9年义务教育合伙人,30-60K,大专,1.有激情、能吃苦2.有一定的营销策划能力3.有一颗积极向上的心4.喜欢跟家长和孩子打交道加分项有以下行业经验：培训机构·学前教育·在线教育,长沙长沙县牛角冲社区公共服务中心1区15栋86
今日要点（北京）网络科技有限公司,CEO/总裁/总经理,80-100K,大专,1、??制定平台【爱心超市】平台版块的整体产品战略及方向定位，业务顶层设计工作并制定详尽的工作计划，战略落地并对流量结果负责；2、?? 定期向董事长汇报【爱心超市】BU版块的经营状况；3、??负责组织搭建【爱心超市】BU版块的组织架构；4、?? 整合集团内外资源，完成【爱心超市】版块的阶段性目标；任职重点：1、?? 有互联网（平台型产品）行业相关管理经验，3年以上互联网CEO、合伙人或创始人相关工作经历；2、   情商高，善于整合各类社会资源，思维活跃，擅长APP平台运营管理及用户拉新、流量增长。5、   统筹能力强，格局大，有创业激情；,北京朝阳区国维大厦10
山东贝赛信息科技有限公司,徐州城市合伙人,50-80K,大专,「工作内容」1.政企公共事务关系搭建与维护；2.政府项目洽淡、跟进、合作；3.社会公共关系规划与维护；4.当地政府政策研判与业务合规；「职位描述」1.政府关系：与网信办，公安，应急等部门建立维持良好的沟通关系，维护并拓展其他地方政府关系，提升优化政企公共事务关系。2.项目合作：获取政府信息化项目建设信息，牵头促成项目合作。3.公共关系：政府、社会组织、媒体等的关系维护，提升公司的社会认知及品牌塑造。4.政策研判：根据公司的战略发展方向，跟进政府政策法规动向，与公司业务发展进行结合。「任职要求」1.5年以上相关工作经验，具有网信办，公安，应急等政府各类社会组织资源，有敏锐的政策嗅觉及落地能力、广泛的人脉关系；2.熟悉政府工作流程，了解政府招投标采购流程等；3.个人有意愿向互联网大数据行业发展；4.具有合作精神，选择和平台共发展,徐州泉山区徐州创业园314
博文德能源集团有限公司,董事总经理,40-70K,大专,职责描述：1、根据公司业务发展战略及目标，对公司长期及现有业务具有战略价值的运营方向提出布局建议；2、参与制定公司战略规划，提出公司可持续发展规划、生态布局和资源整合与配置的建议； 3、独立拓展并推进项目，包括但不限于项目价值判断、开发与筛选项目标的、谈判及风险评估等； 4、负责项目交付管理，包括但不限于对重大待决事项提出决策建议、协调/促进公司与客户的战略合作。 任职要求：1、50岁以下，专科及以上学历； 2、有大型综合集团公司5年以上合作经验或头部咨询公司经验者优先；3、对能源/电力/矿山/发电/高科技/等相关行业有较深的理解； 4、具备优秀的宏观分析与洞察能力，擅长信息搜集、整合与价值提炼；5、有创业精神，有强烈责任感，工作积极主动，执行力强。,北京西城区广益大厦3层
北京国策智库信息技术研究院,CEO/总裁/总经理,100-110K,大专,1、五年以上行业工作经验及管理经验2、良好的沟通、协调和组织能力，有在100人以上企业担任高副总裁以上职位3、具有优秀的企业发展全局把控能力，战略规划能力、团队管理能力、沟通协调能力、领导决策力，创新力，良好的团队管理建设能力4、熟悉行业情况和动态，深入了解行业特点，有广泛的社会关系和业界资源5、较强的分析判断能力文字组织能力、文案策划能力、谈判能力公关能力；6、只要是您有能力、有资源，您就来，给您平台尽情施展！！！！！,济南历下区济南索菲特银座大饭店10楼
趣品（北京）电子商务股份有限公司,CEO（白酒新零售众筹众创）,40-70K,大专,1、全面整合公司现有资源（政府和大B）2、负责大客户大B和小B圈层开发，快速圈层和社群变革；3、负责圈层合伙人机制建立，包括项目众筹众创分佣、数权返佣、一级、二级分销等；4、负责项目赋能产品的市场布局和规划落地（趣红宝、中企红投融资）；5、负责私董会、创投俱乐部的机制建立和落地组织等；6、结合公司资源和项目管理，进行产品生命周期管理和产品布局规划；7、负责合伙人资源，启动中企红投融资业务。任职要求：1、有B端人脉资源；有独立做过中高端圈子营销，可以不是酒水；2、有设计过分佣机制和合伙人机制；3、金融专业或者金融领域优先；4、创业合伙人或创始人经历，连续创业者尤佳；5、有大局观和白酒新零售模式的创新思维和逻辑。加分项有以下行业经验：新零售·电子商务,北京大兴区星光影视园·北区37号楼
武汉云轩科技有限公司,平台联创人,35-60K,大专,"1、本公司主推线上集合优惠券平台，现需能快速熟悉产品，业务，能够独立完成市场开发工作的优秀人才2、能够最快时间内完成团队组建，推广市场3、经营管理工作室运营中心，熟悉相关法律法规，依法经营4、和总、分公司做好对接，有效执行总公司传达的工作指令，结合市场需求制定推广方案5、遵纪守法，无不良记录6、学习能力强、责任心强、善于发现问题，具备一定的抗压能力。7、公司会提供完整的培训帮助你尽快上手岗位。8、有市场推广经验优先,欢迎您的加入",沈阳浑南区沈阳德宝大厦19
深圳市图派科技有限公司,副总裁/副总经理/VP,30-60K·13薪,大专,1、公司管理层岗位，有0-1构建团队能力佳；2、创意热店、4A广告公司、mcn机构、短视频直播、媒介媒体等公司工作经历佳；3、有广告公司BD、客户总监工作经历佳；加分项有以下行业经验：广告/公关/会展,深圳福田区深圳商报社大厦印务楼六楼东座
武汉云创未来科技有限公司,百万年薪招负责人/开拓新城市,50-60K·13薪,大专,"寻找:看好“双碳”，认可节能节电行业，对自身能力有信心,想实现自身价值和高收入的人。工作内容负责所在城市的产品销售与渠道推广，分公司建立，团队组建，经销商招募与管理。任职要求1具备独立的商务谈判能力2具备一定的行业资源或人脉圈3较强的资源整合与组织协调能力4三年以上团队管理经验5有创业经历优先考虑薪资构成:通过公司考核后总部提供资金支持你组建分公司团队，享受底薪+日常补贴+高比例提成+股权分红 挑战月入十万起特别说明:我司三十余年配电节电经验，开创节能行业新纪元，技术领先。现单独成立节能板块，全力抢先布局蓝海市场、万亿规模。我司通过自主研发及国内外节能技术,拥有多项技术发明专利。公司集生产研发于一体，旨在为商业、工业、市政单位提供全套的节电方案。公司掌握领先的节电技术系统并不断迭代更新，本公司研发的第六代的综合智能节电保护装置,节电率可达6%--35%之间,远高于同行。单个项目金额从几十万，几百万至几千千万，并为终端客户提供销售、能源合作、融资租赁等多种合作模式。目前已应用在全国各个行业,效果显著,得到各企业的青睐和政府单位的认可。",武汉黄陂区五洲国际建材城Y区401411
