id,Predicate,Object
0,技能要求,css
0,技能要求,CSS3
0,技能要求,element
0,技能要求,HTML5
0,技能要求,javascript
0,技能要求,ui
0,技能要求,uniapp
0,技能要求,vue
0,技能要求,前端
0,技能要求,编译器
0,技能要求,小程序
0,技能要求,组件化
0,技能要求,模块化
0,技能要求,前后端分离
0,技能要求,项目经验
0,公司名称,广东倾云科技有限公司
0,城市,中山
0,职位名称,【初级】web前端开发工程师
0,职位类别,前端
0,是否实习,全职
0,薪资,2-4K·13薪
0,学历要求,大专
1,技能要求,cad
1,技能要求,ppt
1,技能要求,ps
1,技能要求,办公软件
1,技能要求,调试
1,技能要求,数据分析
1,技能要求,数据库
1,技能要求,优化
1,素养要求,沟通
1,公司名称,火眼科技（天津）有限公司
1,城市,衡水
1,职位名称,IT运维工程师
1,职位类别,运维/技术支持
1,是否实习,全职
1,薪资,2-4K
1,学历要求,大专
2,技能要求,element
2,技能要求,ts
2,技能要求,ui
2,技能要求,vue
2,技能要求,web
2,技能要求,后端
2,技能要求,小程序
2,技能要求,前后端分离
2,公司名称,郑州玉带信息技术有限责任公司
2,城市,郑州
2,职位名称,实习web前端开发工程师
2,职位类别,前端
2,是否实习,实习
2,薪资,1-6K
2,学历要求,大专
3,技能要求,mongodb
3,技能要求,python
3,技能要求,redis
3,技能要求,vue
3,技能要求,后端
3,技能要求,前端
3,技能要求,数据库
3,知识要求,ip
3,知识要求,大数据
3,素养要求,分析
3,素养要求,团队
3,公司名称,广东天勤科技有限公司
3,城市,梅州
3,职位名称,兴宁前端、程序员实习生
3,职位类别,前端
3,是否实习,实习
3,薪资,1-4K
3,学历要求,大专
4,素养要求,管理
4,公司名称,武汉赢月网络科技有限公司
4,城市,武汉
4,职位名称,运维工程师
4,职位类别,运维/技术支持
4,是否实习,全职
4,薪资,2-3K
4,学历要求,大专
5,知识要求,计算机
5,知识要求,通信
5,素养要求,沟通
5,素养要求,团队
5,素养要求,学习能力
5,公司名称,陕西润古网络科技有限公司
5,城市,西安
5,职位名称,web前端实习生
5,职位类别,前端
5,是否实习,实习
5,薪资,2-3K
5,学历要求,大专
6,技能要求,angular
6,技能要求,app
6,技能要求,css
6,技能要求,html
6,技能要求,Html5
6,技能要求,javascript
6,技能要求,jquery
6,技能要求,ps
6,技能要求,react
6,技能要求,ui
6,技能要求,vue
6,技能要求,web
6,技能要求,前端
6,技能要求,项目经验
6,素养要求,沟通
6,素养要求,逻辑
6,素养要求,热情
6,素养要求,团队
6,素养要求,学习能力
6,公司名称,江西天华新瑞信息技术有限公司南昌分公司
6,城市,南昌
6,职位名称,WEB前端开发实习生
6,职位类别,前端
6,是否实习,实习
6,薪资,2-4K
6,学历要求,大专
7,技能要求,ajax
7,技能要求,css
7,技能要求,dom
7,技能要求,element
7,技能要求,html
7,技能要求,javascript
7,技能要求,js
7,技能要求,json
7,技能要求,Vue3
7,技能要求,小程序
7,技能要求,项目经验
7,素养要求,吃苦
7,素养要求,沟通
7,素养要求,逻辑
7,素养要求,团队
7,素养要求,协作
7,素养要求,学习能力
7,公司名称,遵义小红椒网络科技有限公司
7,城市,遵义
7,职位名称,前端开发（接受实习生）
7,职位类别,前端
7,是否实习,实习
7,薪资,2-3K
7,学历要求,大专
8,技能要求,css
8,技能要求,html
8,技能要求,javascript
8,技能要求,web
8,技能要求,前端
8,技能要求,组件化
8,技能要求,模块化
8,素养要求,团队
8,公司名称,广州小檬信息科技有限公司
8,城市,广州
8,职位名称,Web前端开发工程师(实习）
8,职位类别,前端
8,是否实习,实习
8,薪资,2-4K
8,学历要求,大专
9,素养要求,勤奋
9,公司名称,娄底宇麒科技有限责任公司
9,城市,娄底
9,职位名称,unity工程师助理
9,职位类别,暂无分类
9,是否实习,全职
9,薪资,1-3K
9,学历要求,大专
10,知识要求,计算机
10,素养要求,分析
10,素养要求,合作
10,素养要求,团队
10,素养要求,总结
10,公司名称,南阳市微企胜网络科技有限公司
10,城市,南阳
10,职位名称,前端、后端实习生
10,职位类别,前端
10,是否实习,实习
10,薪资,2-6K
10,学历要求,大专
11,技能要求,css
11,技能要求,html
11,技能要求,javascript
11,技能要求,前端
11,素养要求,吃苦
11,公司名称,贵州黔狐科技股份有限公司
11,城市,铜仁
11,职位名称,前端开发实习岗
11,职位类别,前端
11,是否实习,实习
11,薪资,1-2K
11,学历要求,大专
12,技能要求,css
12,技能要求,html5
12,技能要求,javascript
12,技能要求,jquery
12,技能要求,js
12,技能要求,ui
12,技能要求,vue
12,技能要求,web
12,技能要求,webpack
12,技能要求,前端
12,技能要求,优化
12,知识要求,计算机
12,素养要求,吃苦
12,素养要求,分析
12,素养要求,沟通
12,素养要求,合作
12,素养要求,配合
12,素养要求,团队
12,素养要求,效率
12,素养要求,协作
12,公司名称,深圳市芒果松科技有限公司
12,城市,深圳
12,职位名称,初级前端开发（实习生&应届生）
12,职位类别,前端
12,是否实习,实习
12,薪资,2-4K
12,学历要求,大专
13,技能要求,后端
13,技能要求,前端
13,知识要求,计算机
13,素养要求,吃苦
13,素养要求,独立
13,素养要求,管理
13,素养要求,配合
13,素养要求,团队
13,素养要求,学习能力
13,公司名称,长春信航科技有限公司
13,城市,长春
13,职位名称,初级Java开发工程师
13,职位类别,Java
13,是否实习,全职
13,薪资,2-4K
13,学历要求,大专
14,技能要求,css
14,技能要求,h5
14,技能要求,html
14,技能要求,js
14,技能要求,ps
14,技能要求,vue
14,技能要求,前端
14,素养要求,适应
14,公司名称,上海奇杲科技有限公司
14,城市,郑州
14,职位名称,web前端
14,职位类别,前端
14,是否实习,全职
14,薪资,1-6K
14,学历要求,大专
15,技能要求,css
15,技能要求,git
15,技能要求,H5
15,技能要求,html5
15,技能要求,js
15,技能要求,react
15,技能要求,vue
15,技能要求,小程序
15,技能要求,项目经验
15,素养要求,团队
15,公司名称,上海信栖网络科技有限公司
15,城市,上海
15,职位名称,web前端实习
15,职位类别,前端
15,是否实习,实习
15,薪资,2-4K·13薪
15,学历要求,大专
16,技能要求,vue
16,技能要求,web
16,技能要求,前端
16,公司名称,浙江星河微网能源科技有限公司
16,城市,杭州
16,职位名称,vue前端开发实习
16,职位类别,前端
16,是否实习,实习
16,薪资,2-5K
16,学历要求,大专
