职位id,关系,城市
0,所在城市,中山
1,所在城市,衡水
2,所在城市,郑州
3,所在城市,梅州
4,所在城市,武汉
5,所在城市,西安
6,所在城市,南昌
7,所在城市,遵义
8,所在城市,广州
9,所在城市,娄底
10,所在城市,南阳
11,所在城市,铜仁
12,所在城市,深圳
13,所在城市,长春
14,所在城市,郑州
15,所在城市,上海
16,所在城市,杭州
17,所在城市,潮州
18,所在城市,贵阳
19,所在城市,泉州
20,所在城市,深圳
21,所在城市,玉林
22,所在城市,南昌
23,所在城市,南京
24,所在城市,遵义
25,所在城市,无锡
26,所在城市,西安
27,所在城市,福州
28,所在城市,西安
29,所在城市,保定
30,所在城市,北海
31,所在城市,长春
32,所在城市,佛山
33,所在城市,龙岩
34,所在城市,长春
35,所在城市,广州
36,所在城市,无锡
37,所在城市,广元
38,所在城市,福州
39,所在城市,石家庄
40,所在城市,抚顺
41,所在城市,广州
42,所在城市,广州
43,所在城市,南京
44,所在城市,西安
45,所在城市,重庆
46,所在城市,未知
47,所在城市,深圳
48,所在城市,南昌
49,所在城市,洛阳
50,所在城市,鞍山
51,所在城市,大连
52,所在城市,晋城
53,所在城市,衢州
54,所在城市,武汉
55,所在城市,杭州
56,所在城市,南宁
57,所在城市,安庆
58,所在城市,南昌
59,所在城市,武汉
60,所在城市,北京
61,所在城市,开封
62,所在城市,济宁
63,所在城市,太原
64,所在城市,重庆
65,所在城市,包头
66,所在城市,成都
67,所在城市,重庆
68,所在城市,北京
69,所在城市,镇江
70,所在城市,自贡
71,所在城市,宿州
72,所在城市,武汉
73,所在城市,东营
74,所在城市,石家庄
75,所在城市,厦门
76,所在城市,焦作
77,所在城市,佛山
78,所在城市,成都
79,所在城市,南宁
80,所在城市,澄迈
81,所在城市,南阳
82,所在城市,长春
83,所在城市,柳州
84,所在城市,揭阳
85,所在城市,肇庆
86,所在城市,成都
87,所在城市,青岛
88,所在城市,杭州
89,所在城市,宜昌
90,所在城市,南平
91,所在城市,重庆
92,所在城市,福州
93,所在城市,南昌
94,所在城市,朝阳
95,所在城市,宁波
96,所在城市,大理
97,所在城市,金华
98,所在城市,深圳
99,所在城市,舟山
100,所在城市,滨州
101,所在城市,中山
102,所在城市,杭州
103,所在城市,泸州
104,所在城市,南昌
105,所在城市,西安
106,所在城市,太原
107,所在城市,南昌
108,所在城市,南宁
109,所在城市,嘉兴
110,所在城市,商洛
111,所在城市,广元
112,所在城市,沈阳
113,所在城市,深圳
114,所在城市,青岛
115,所在城市,珠海
116,所在城市,深圳
117,所在城市,新余
118,所在城市,秦皇
119,所在城市,南京
120,所在城市,惠州
121,所在城市,石家庄
122,所在城市,通化
123,所在城市,杭州
124,所在城市,深圳
125,所在城市,金华
126,所在城市,商洛
127,所在城市,秦皇
128,所在城市,沈阳
129,所在城市,惠州
130,所在城市,长春
131,所在城市,邢台
132,所在城市,潮州
133,所在城市,马鞍
134,所在城市,汉中
135,所在城市,大连
136,所在城市,西安
137,所在城市,自贡
138,所在城市,南阳
139,所在城市,河池
140,所在城市,绍兴
141,所在城市,辽源
142,所在城市,太原
143,所在城市,漳州
144,所在城市,成都
145,所在城市,成都
146,所在城市,咸阳
147,所在城市,嘉兴
148,所在城市,汕头
149,所在城市,盐城
150,所在城市,重庆
151,所在城市,南昌
