职位id,关系,是否实习
0,是否实习,全职
1,是否实习,全职
2,是否实习,实习
3,是否实习,实习
4,是否实习,全职
5,是否实习,实习
6,是否实习,实习
7,是否实习,实习
8,是否实习,实习
9,是否实习,全职
10,是否实习,实习
11,是否实习,实习
12,是否实习,实习
13,是否实习,全职
14,是否实习,全职
15,是否实习,实习
16,是否实习,实习
17,是否实习,全职
18,是否实习,全职
19,是否实习,实习
20,是否实习,全职
21,是否实习,全职
22,是否实习,实习
23,是否实习,实习
24,是否实习,实习
25,是否实习,实习
26,是否实习,全职
27,是否实习,实习
28,是否实习,全职
29,是否实习,全职
30,是否实习,实习
31,是否实习,实习
32,是否实习,全职
33,是否实习,实习
34,是否实习,实习
35,是否实习,实习
36,是否实习,全职
37,是否实习,全职
38,是否实习,实习
39,是否实习,全职
40,是否实习,全职
41,是否实习,实习
42,是否实习,实习
43,是否实习,全职
44,是否实习,实习
45,是否实习,全职
46,是否实习,实习
47,是否实习,实习
48,是否实习,实习
49,是否实习,全职
50,是否实习,全职
51,是否实习,全职
52,是否实习,全职
53,是否实习,全职
54,是否实习,实习
55,是否实习,实习
56,是否实习,实习
57,是否实习,全职
58,是否实习,实习
59,是否实习,全职
60,是否实习,全职
61,是否实习,全职
62,是否实习,全职
63,是否实习,全职
64,是否实习,全职
65,是否实习,全职
66,是否实习,全职
67,是否实习,全职
68,是否实习,实习
69,是否实习,全职
70,是否实习,全职
71,是否实习,全职
72,是否实习,实习
73,是否实习,实习
74,是否实习,实习
75,是否实习,全职
76,是否实习,全职
77,是否实习,实习
78,是否实习,全职
79,是否实习,实习
80,是否实习,实习
81,是否实习,全职
82,是否实习,全职
83,是否实习,全职
84,是否实习,全职
85,是否实习,全职
86,是否实习,全职
87,是否实习,全职
88,是否实习,实习
89,是否实习,实习
90,是否实习,全职
91,是否实习,实习
92,是否实习,全职
93,是否实习,全职
94,是否实习,全职
95,是否实习,全职
96,是否实习,全职
97,是否实习,全职
98,是否实习,全职
99,是否实习,实习
100,是否实习,实习
101,是否实习,全职
102,是否实习,实习
103,是否实习,全职
104,是否实习,全职
105,是否实习,实习
106,是否实习,全职
107,是否实习,全职
108,是否实习,实习
109,是否实习,实习
110,是否实习,全职
111,是否实习,全职
112,是否实习,全职
113,是否实习,全职
114,是否实习,全职
115,是否实习,全职
116,是否实习,实习
117,是否实习,全职
118,是否实习,全职
119,是否实习,实习
120,是否实习,全职
121,是否实习,全职
122,是否实习,全职
123,是否实习,实习
124,是否实习,实习
125,是否实习,全职
126,是否实习,全职
127,是否实习,全职
128,是否实习,全职
129,是否实习,全职
130,是否实习,全职
131,是否实习,全职
132,是否实习,全职
133,是否实习,全职
134,是否实习,全职
135,是否实习,全职
136,是否实习,实习
137,是否实习,全职
138,是否实习,全职
139,是否实习,全职
140,是否实习,全职
141,是否实习,全职
142,是否实习,全职
143,是否实习,全职
144,是否实习,全职
145,是否实习,全职
146,是否实习,全职
147,是否实习,全职
148,是否实习,全职
149,是否实习,全职
150,是否实习,全职
151,是否实习,实习
152,是否实习,全职
153,是否实习,实习
154,是否实习,全职
155,是否实习,全职
156,是否实习,实习
157,是否实习,全职
158,是否实习,实习
159,是否实习,全职
160,是否实习,实习
161,是否实习,实习
162,是否实习,全职
163,是否实习,全职
164,是否实习,实习
165,是否实习,全职
166,是否实习,全职
167,是否实习,全职
168,是否实习,全职
169,是否实习,实习
170,是否实习,全职
171,是否实习,实习
172,是否实习,全职
173,是否实习,全职
174,是否实习,全职
175,是否实习,全职
176,是否实习,全职
177,是否实习,全职
178,是否实习,全职
179,是否实习,全职
180,是否实习,全职
181,是否实习,全职
182,是否实习,全职
183,是否实习,全职
184,是否实习,实习
185,是否实习,全职
186,是否实习,全职
187,是否实习,全职
188,是否实习,全职
189,是否实习,全职
190,是否实习,全职
191,是否实习,全职
192,是否实习,全职
193,是否实习,全职
194,是否实习,全职
195,是否实习,全职
196,是否实习,全职
197,是否实习,实习
198,是否实习,全职
199,是否实习,全职
200,是否实习,实习
201,是否实习,全职
202,是否实习,实习
203,是否实习,全职
204,是否实习,实习
205,是否实习,全职
206,是否实习,全职
207,是否实习,全职
208,是否实习,实习
209,是否实习,全职
210,是否实习,全职
211,是否实习,全职
212,是否实习,全职
213,是否实习,全职
214,是否实习,全职
215,是否实习,全职
216,是否实习,全职
217,是否实习,实习
218,是否实习,全职
219,是否实习,全职
220,是否实习,全职
221,是否实习,全职
222,是否实习,全职
223,是否实习,全职
224,是否实习,全职
225,是否实习,全职
226,是否实习,全职
227,是否实习,全职
228,是否实习,实习
229,是否实习,全职
230,是否实习,全职
231,是否实习,全职
232,是否实习,全职
233,是否实习,全职
234,是否实习,全职
235,是否实习,全职
236,是否实习,全职
237,是否实习,全职
238,是否实习,全职
239,是否实习,全职
240,是否实习,全职
241,是否实习,实习
242,是否实习,全职
243,是否实习,实习
244,是否实习,实习
245,是否实习,全职
246,是否实习,全职
247,是否实习,全职
248,是否实习,全职
249,是否实习,全职
250,是否实习,全职
251,是否实习,全职
252,是否实习,全职
253,是否实习,全职
254,是否实习,全职
255,是否实习,全职
256,是否实习,全职
257,是否实习,全职
258,是否实习,全职
259,是否实习,全职
260,是否实习,全职
261,是否实习,全职
262,是否实习,全职
263,是否实习,全职
264,是否实习,全职
265,是否实习,全职
266,是否实习,全职
267,是否实习,全职
268,是否实习,实习
269,是否实习,全职
270,是否实习,全职
271,是否实习,实习
272,是否实习,全职
273,是否实习,全职
274,是否实习,实习
275,是否实习,实习
276,是否实习,实习
277,是否实习,实习
278,是否实习,全职
279,是否实习,全职
280,是否实习,全职
281,是否实习,全职
282,是否实习,全职
283,是否实习,实习
284,是否实习,实习
285,是否实习,全职
286,是否实习,实习
287,是否实习,全职
288,是否实习,实习
289,是否实习,实习
290,是否实习,实习
291,是否实习,全职
292,是否实习,全职
293,是否实习,实习
294,是否实习,全职
295,是否实习,全职
296,是否实习,全职
297,是否实习,实习
298,是否实习,全职
299,是否实习,全职
300,是否实习,实习
301,是否实习,实习
302,是否实习,全职
303,是否实习,全职
304,是否实习,实习
305,是否实习,全职
306,是否实习,全职
307,是否实习,全职
308,是否实习,实习
309,是否实习,实习
310,是否实习,全职
311,是否实习,全职
312,是否实习,全职
313,是否实习,全职
314,是否实习,全职
315,是否实习,全职
316,是否实习,全职
317,是否实习,实习
318,是否实习,实习
319,是否实习,全职
320,是否实习,实习
321,是否实习,实习
322,是否实习,实习
323,是否实习,全职
324,是否实习,实习
325,是否实习,全职
326,是否实习,全职
327,是否实习,实习
328,是否实习,全职
329,是否实习,实习
330,是否实习,实习
331,是否实习,全职
332,是否实习,全职
333,是否实习,全职
334,是否实习,全职
335,是否实习,实习
336,是否实习,全职
337,是否实习,实习
338,是否实习,全职
339,是否实习,实习
340,是否实习,实习
341,是否实习,全职
342,是否实习,全职
343,是否实习,实习
344,是否实习,实习
345,是否实习,实习
346,是否实习,全职
347,是否实习,全职
348,是否实习,全职
349,是否实习,全职
350,是否实习,实习
351,是否实习,全职
352,是否实习,全职
353,是否实习,全职
354,是否实习,全职
355,是否实习,全职
