职位id,关系,素养
1,所需素养,沟通
3,所需素养,分析
3,所需素养,团队
4,所需素养,管理
5,所需素养,沟通
5,所需素养,团队
5,所需素养,学习能力
6,所需素养,学习能力
6,所需素养,沟通
6,所需素养,团队
6,所需素养,逻辑
6,所需素养,热情
7,所需素养,学习能力
7,所需素养,吃苦
7,所需素养,沟通
7,所需素养,团队
7,所需素养,逻辑
7,所需素养,协作
8,所需素养,团队
9,所需素养,勤奋
10,所需素养,总结
10,所需素养,分析
10,所需素养,团队
10,所需素养,合作
11,所需素养,吃苦
12,所需素养,吃苦
12,所需素养,效率
12,所需素养,沟通
12,所需素养,分析
12,所需素养,团队
12,所需素养,合作
12,所需素养,配合
12,所需素养,协作
13,所需素养,学习能力
13,所需素养,吃苦
13,所需素养,团队
13,所需素养,管理
13,所需素养,配合
13,所需素养,独立
14,所需素养,适应
15,所需素养,团队
17,所需素养,学习能力
17,所需素养,沟通
17,所需素养,团队
17,所需素养,逻辑
17,所需素养,协作
18,所需素养,沟通
18,所需素养,分析
18,所需素养,团队
18,所需素养,合作
18,所需素养,配合
20,所需素养,积极
20,所需素养,学习能力
20,所需素养,吃苦
20,所需素养,沟通
20,所需素养,逻辑
20,所需素养,热情
22,所需素养,吃苦
22,所需素养,沟通
22,所需素养,团队
22,所需素养,合作
22,所需素养,独立
24,所需素养,沟通
24,所需素养,逻辑
25,所需素养,配合
25,所需素养,效率
27,所需素养,分析
30,所需素养,逻辑
30,所需素养,效率
31,所需素养,团队
31,所需素养,按时
31,所需素养,协作
32,所需素养,管理
34,所需素养,沟通
34,所需素养,团队
34,所需素养,按时
34,所需素养,协作
35,所需素养,分析
35,所需素养,积极
35,所需素养,学习能力
35,所需素养,团队
36,所需素养,积极
36,所需素养,吃苦
36,所需素养,沟通
36,所需素养,分析
36,所需素养,总结
36,所需素养,抗压
38,所需素养,学习能力
38,所需素养,沟通
38,所需素养,分析
38,所需素养,团队
38,所需素养,逻辑
38,所需素养,协作
39,所需素养,配合
39,所需素养,积极
39,所需素养,总结
40,所需素养,分析
41,所需素养,沟通
41,所需素养,管理
42,所需素养,按时
42,所需素养,创新
42,所需素养,沟通
42,所需素养,团队
42,所需素养,合作
42,所需素养,协作
42,所需素养,严谨
42,所需素养,独立
43,所需素养,沟通
43,所需素养,逻辑
43,所需素养,分析
43,所需素养,团队
44,所需素养,沟通
44,所需素养,团队
44,所需素养,学习能力
44,所需素养,协作
45,所需素养,配合
47,所需素养,沟通
47,所需素养,吃苦
50,所需素养,团队
50,所需素养,学习能力
50,所需素养,协作
51,所需素养,独立
54,所需素养,独立
54,所需素养,沟通
54,所需素养,团队
54,所需素养,逻辑
54,所需素养,协作
55,所需素养,按时
55,所需素养,学习能力
55,所需素养,沟通
55,所需素养,团队
55,所需素养,合作
55,所需素养,管理
56,所需素养,配合
57,所需素养,分析
57,所需素养,团队
58,所需素养,按时
58,所需素养,学习能力
58,所需素养,沟通
58,所需素养,问题解决
58,所需素养,团队
58,所需素养,合作
58,所需素养,配合
59,所需素养,积极
59,所需素养,学习能力
59,所需素养,沟通
59,所需素养,团队
59,所需素养,合作
59,所需素养,协作
62,所需素养,分析
62,所需素养,配合
62,所需素养,管理
62,所需素养,独立
64,所需素养,沟通
64,所需素养,团队
68,所需素养,积极
68,所需素养,学习能力
68,所需素养,吃苦
68,所需素养,沟通
68,所需素养,团队
69,所需素养,逻辑
69,所需素养,管理
70,所需素养,沟通
70,所需素养,团队
70,所需素养,合作
70,所需素养,严谨
73,所需素养,分析
73,所需素养,团队
73,所需素养,学习能力
73,所需素养,协作
74,所需素养,管理
74,所需素养,独立
75,所需素养,逻辑
75,所需素养,分析
75,所需素养,配合
76,所需素养,独立
76,所需素养,按时
76,所需素养,学习能力
76,所需素养,沟通
76,所需素养,团队
76,所需素养,协作
77,所需素养,协作
77,所需素养,独立
78,所需素养,细致
78,所需素养,积极
78,所需素养,团队
78,所需素养,合作
78,所需素养,勤奋
78,所需素养,严谨
78,所需素养,配合
78,所需素养,独立
79,所需素养,积极
81,所需素养,团队
81,所需素养,学习能力
81,所需素养,合作
82,所需素养,积极
82,所需素养,沟通
82,所需素养,团队
82,所需素养,严谨
82,所需素养,协作
83,所需素养,学习能力
83,所需素养,沟通
83,所需素养,团队
83,所需素养,合作
83,所需素养,配合
83,所需素养,协作
85,所需素养,分析
85,所需素养,团队
85,所需素养,执行力
85,所需素养,合作
86,所需素养,逻辑
86,所需素养,分析
86,所需素养,适应
86,所需素养,创新
88,所需素养,积极
88,所需素养,学习能力
88,所需素养,沟通
88,所需素养,分析
88,所需素养,团队
88,所需素养,合作
89,所需素养,总结
90,所需素养,沟通
90,所需素养,团队
90,所需素养,学习能力
91,所需素养,管理
91,所需素养,独立
92,所需素养,沟通
92,所需素养,热情
92,所需素养,合作
92,所需素养,团队
93,所需素养,沟通
93,所需素养,适应
93,所需素养,合作
93,所需素养,团队
96,所需素养,沟通
99,所需素养,沟通
99,所需素养,分析
99,所需素养,学习能力
99,所需素养,独立
100,所需素养,学习能力
100,所需素养,创新
100,所需素养,吃苦
100,所需素养,沟通
100,所需素养,分析
100,所需素养,团队
100,所需素养,合作
100,所需素养,逻辑
101,所需素养,沟通
101,所需素养,分析
101,所需素养,团队
102,所需素养,独立
103,所需素养,管理
104,所需素养,沟通
104,所需素养,协作
104,所需素养,积极
104,所需素养,独立
105,所需素养,协作
105,所需素养,团队
105,所需素养,合作
108,所需素养,积极
108,所需素养,沟通
108,所需素养,团队
108,所需素养,合作
108,所需素养,逻辑
108,所需素养,配合
108,所需素养,独立
109,所需素养,逻辑
110,所需素养,分析
111,所需素养,分析
112,所需素养,总结
113,所需素养,沟通
113,所需素养,团队
115,所需素养,沟通
115,所需素养,按时
116,所需素养,学习能力
116,所需素养,分析
116,所需素养,团队
116,所需素养,合作
116,所需素养,严谨
116,所需素养,抗压
118,所需素养,沟通
118,所需素养,团队
118,所需素养,执行力
118,所需素养,配合
118,所需素养,独立
120,所需素养,沟通
120,所需素养,配合
122,所需素养,学习能力
122,所需素养,创新
122,所需素养,沟通
122,所需素养,团队
122,所需素养,逻辑
123,所需素养,按时
123,所需素养,学习能力
123,所需素养,沟通
123,所需素养,团队
123,所需素养,合作
123,所需素养,管理
124,所需素养,沟通
124,所需素养,团队
124,所需素养,学习能力
124,所需素养,协作
126,所需素养,分析
127,所需素养,沟通
127,所需素养,团队
127,所需素养,执行力
127,所需素养,配合
127,所需素养,独立
132,所需素养,沟通
132,所需素养,团队
132,所需素养,学习能力
134,所需素养,积极
134,所需素养,学习能力
134,所需素养,沟通
134,所需素养,问题解决
134,所需素养,团队
134,所需素养,合作
135,所需素养,团队
135,所需素养,学习能力
135,所需素养,独立
135,所需素养,合作
136,所需素养,独立
137,所需素养,沟通
137,所需素养,团队
137,所需素养,合作
137,所需素养,严谨
138,所需素养,效率
138,所需素养,沟通
138,所需素养,分析
138,所需素养,团队
138,所需素养,合作
138,所需素养,逻辑
138,所需素养,协作
142,所需素养,沟通
142,所需素养,分析
142,所需素养,团队
142,所需素养,合作
142,所需素养,逻辑
142,所需素养,配合
143,所需素养,沟通
143,所需素养,学习能力
145,所需素养,逻辑
145,所需素养,分析
145,所需素养,适应
145,所需素养,创新
146,所需素养,沟通
146,所需素养,适应
146,所需素养,学习能力
147,所需素养,沟通
147,所需素养,抗压
148,所需素养,积极
148,所需素养,学习能力
148,所需素养,效率
148,所需素养,团队
148,所需素养,配合
149,所需素养,配合
150,所需素养,积极
150,所需素养,学习能力
150,所需素养,团队
150,所需素养,合作
150,所需素养,严谨
150,所需素养,逻辑
151,所需素养,独立
152,所需素养,沟通
152,所需素养,独立
153,所需素养,学习能力
153,所需素养,沟通
153,所需素养,分析
153,所需素养,团队
153,所需素养,逻辑
153,所需素养,协作
154,所需素养,学习能力
154,所需素养,吃苦
154,所需素养,团队
154,所需素养,管理
154,所需素养,配合
154,所需素养,独立
155,所需素养,沟通
155,所需素养,团队
156,所需素养,学习能力
