职位id,关系,职位类别
0,所属类别,前端
1,所属类别,运维/技术支持
2,所属类别,前端
3,所属类别,前端
4,所属类别,运维/技术支持
5,所属类别,前端
6,所属类别,前端
7,所属类别,前端
8,所属类别,前端
9,所属类别,暂无分类
10,所属类别,前端
11,所属类别,前端
12,所属类别,前端
13,所属类别,Java
14,所属类别,前端
15,所属类别,前端
16,所属类别,前端
17,所属类别,前端
18,所属类别,前端
19,所属类别,前端
20,所属类别,前端
21,所属类别,前端
22,所属类别,前端
23,所属类别,前端
24,所属类别,前端
25,所属类别,前端
26,所属类别,电气
27,所属类别,前端
28,所属类别,前端
29,所属类别,前端
30,所属类别,前端
31,所属类别,前端
32,所属类别,前端
33,所属类别,前端
34,所属类别,前端
35,所属类别,前端
36,所属类别,测试
37,所属类别,前端
38,所属类别,前端
39,所属类别,暂无分类
40,所属类别,暂无分类
41,所属类别,前端
42,所属类别,前端
43,所属类别,前端
44,所属类别,前端
45,所属类别,前端
46,所属类别,前端
47,所属类别,前端
48,所属类别,前端
49,所属类别,前端
50,所属类别,前端
51,所属类别,前端
52,所属类别,网络/系统安全
53,所属类别,前端
54,所属类别,前端
55,所属类别,前端
56,所属类别,前端
57,所属类别,暂无分类
58,所属类别,前端
59,所属类别,前端
60,所属类别,前端
61,所属类别,前端
62,所属类别,前端
63,所属类别,硬件
64,所属类别,暂无分类
65,所属类别,暂无分类
66,所属类别,硬件
67,所属类别,前端
68,所属类别,前端
69,所属类别,暂无分类
70,所属类别,暂无分类
71,所属类别,暂无分类
72,所属类别,前端
73,所属类别,软件工程师
74,所属类别,前端
75,所属类别,前端
76,所属类别,Java
77,所属类别,前端
78,所属类别,前端
79,所属类别,前端
80,所属类别,暂无分类
81,所属类别,前端
82,所属类别,前端
83,所属类别,前端
84,所属类别,硬件
85,所属类别,Java
86,所属类别,前端
87,所属类别,运维/技术支持
88,所属类别,前端
89,所属类别,Java
90,所属类别,前端
91,所属类别,前端
92,所属类别,前端
93,所属类别,前端
94,所属类别,电气
95,所属类别,前端
96,所属类别,前端
97,所属类别,前端
98,所属类别,测试
99,所属类别,前端
100,所属类别,软件工程师
101,所属类别,前端
102,所属类别,前端
103,所属类别,暂无分类
104,所属类别,前端
105,所属类别,前端
106,所属类别,暂无分类
107,所属类别,前端
108,所属类别,前端
109,所属类别,前端
110,所属类别,暂无分类
111,所属类别,暂无分类
112,所属类别,前端
113,所属类别,前端
114,所属类别,网络/系统安全
115,所属类别,前端
116,所属类别,前端
117,所属类别,暂无分类
118,所属类别,前端
119,所属类别,暂无分类
120,所属类别,前端
121,所属类别,前端
122,所属类别,前端
123,所属类别,前端
124,所属类别,前端
125,所属类别,前端
126,所属类别,暂无分类
127,所属类别,前端
128,所属类别,前端
129,所属类别,前端
130,所属类别,前端
131,所属类别,前端
132,所属类别,暂无分类
133,所属类别,前端
134,所属类别,前端
135,所属类别,前端
136,所属类别,网络/系统安全
137,所属类别,暂无分类
138,所属类别,前端
139,所属类别,实施
140,所属类别,前端
141,所属类别,网络/系统安全
142,所属类别,前端
143,所属类别,前端
144,所属类别,前端
145,所属类别,前端
146,所属类别,数据
147,所属类别,软件工程师
148,所属类别,前端
149,所属类别,移动端
150,所属类别,前端
151,所属类别,Java
152,所属类别,暂无分类
153,所属类别,前端
154,所属类别,Java
155,所属类别,前端
156,所属类别,暂无分类
157,所属类别,前端
158,所属类别,运维/技术支持
159,所属类别,前端
160,所属类别,前端
161,所属类别,前端
162,所属类别,网络/系统安全
163,所属类别,前端
164,所属类别,前端
165,所属类别,前端
166,所属类别,运维/技术支持
167,所属类别,前端
168,所属类别,前端
169,所属类别,前端
170,所属类别,暂无分类
171,所属类别,前端
172,所属类别,运维/技术支持
173,所属类别,前端
174,所属类别,软件工程师
175,所属类别,前端
176,所属类别,前端
177,所属类别,前端
178,所属类别,暂无分类
179,所属类别,前端
180,所属类别,前端
181,所属类别,硬件
182,所属类别,前端
183,所属类别,前端
184,所属类别,前端
185,所属类别,前端
186,所属类别,前端
187,所属类别,暂无分类
188,所属类别,前端
189,所属类别,前端
190,所属类别,前端
191,所属类别,暂无分类
192,所属类别,前端
193,所属类别,前端
194,所属类别,前端
195,所属类别,运维/技术支持
196,所属类别,前端
197,所属类别,前端
198,所属类别,前端
199,所属类别,前端
200,所属类别,前端
201,所属类别,前端
202,所属类别,前端
203,所属类别,前端
204,所属类别,前端
205,所属类别,暂无分类
206,所属类别,暂无分类
207,所属类别,前端
208,所属类别,前端
209,所属类别,前端
210,所属类别,前端
211,所属类别,前端
212,所属类别,前端
213,所属类别,前端
214,所属类别,前端
215,所属类别,网络/系统安全
216,所属类别,前端
217,所属类别,软件工程师
218,所属类别,暂无分类
219,所属类别,暂无分类
220,所属类别,前端
221,所属类别,暂无分类
222,所属类别,软件工程师
223,所属类别,移动端
224,所属类别,Java
225,所属类别,前端
226,所属类别,前端
227,所属类别,电气
228,所属类别,前端
229,所属类别,Java
230,所属类别,前端
231,所属类别,前端
232,所属类别,运维/技术支持
233,所属类别,前端
234,所属类别,暂无分类
235,所属类别,Java
236,所属类别,暂无分类
237,所属类别,暂无分类
238,所属类别,暂无分类
239,所属类别,前端
240,所属类别,前端
241,所属类别,硬件
242,所属类别,前端
243,所属类别,前端
244,所属类别,前端
245,所属类别,移动端
246,所属类别,前端
247,所属类别,网络/系统安全
248,所属类别,前端
249,所属类别,前端
250,所属类别,前端
251,所属类别,前端
252,所属类别,前端
253,所属类别,暂无分类
254,所属类别,前端
255,所属类别,软件工程师
256,所属类别,暂无分类
257,所属类别,运维/技术支持
258,所属类别,暂无分类
259,所属类别,前端
260,所属类别,暂无分类
261,所属类别,暂无分类
262,所属类别,软件工程师
263,所属类别,运维/技术支持
264,所属类别,前端
265,所属类别,前端
266,所属类别,前端
267,所属类别,暂无分类
268,所属类别,暂无分类
269,所属类别,暂无分类
270,所属类别,数据
271,所属类别,前端
272,所属类别,暂无分类
273,所属类别,实施
274,所属类别,前端
275,所属类别,前端
276,所属类别,前端
277,所属类别,前端
278,所属类别,暂无分类
279,所属类别,暂无分类
280,所属类别,前端
281,所属类别,运维/技术支持
282,所属类别,前端
283,所属类别,前端
284,所属类别,前端
285,所属类别,暂无分类
286,所属类别,前端
287,所属类别,前端
288,所属类别,前端
289,所属类别,前端
290,所属类别,前端
291,所属类别,前端
292,所属类别,前端
293,所属类别,前端
294,所属类别,电气
295,所属类别,软件工程师
296,所属类别,前端
297,所属类别,前端
298,所属类别,硬件
299,所属类别,Java
300,所属类别,前端
301,所属类别,前端
302,所属类别,前端
303,所属类别,前端
304,所属类别,前端
305,所属类别,测试
306,所属类别,硬件
307,所属类别,暂无分类
308,所属类别,前端
309,所属类别,前端
310,所属类别,前端
311,所属类别,前端
312,所属类别,前端
313,所属类别,前端
314,所属类别,前端
315,所属类别,前端
316,所属类别,暂无分类
317,所属类别,前端
318,所属类别,前端
319,所属类别,暂无分类
320,所属类别,Java
321,所属类别,软件工程师
322,所属类别,暂无分类
323,所属类别,前端
324,所属类别,软件工程师
325,所属类别,前端
326,所属类别,前端
327,所属类别,前端
