职位id,关系,薪资
0,所开薪资,2-4K·13薪
1,所开薪资,2-4K
2,所开薪资,1-6K
3,所开薪资,1-4K
4,所开薪资,2-3K
5,所开薪资,2-3K
6,所开薪资,2-4K
7,所开薪资,2-3K
8,所开薪资,2-4K
9,所开薪资,1-3K
10,所开薪资,2-6K
11,所开薪资,1-2K
12,所开薪资,2-4K
13,所开薪资,2-4K
14,所开薪资,1-6K
15,所开薪资,2-4K·13薪
16,所开薪资,2-5K
17,所开薪资,2-5K
18,所开薪资,2-4K
19,所开薪资,1-4K
20,所开薪资,2-7K
21,所开薪资,1-2K
22,所开薪资,1-4K
23,所开薪资,2-3K
24,所开薪资,2-3K
25,所开薪资,2-4K
26,所开薪资,2-5K
27,所开薪资,2-4K
28,所开薪资,2-4K
29,所开薪资,2-6K
30,所开薪资,2-3K
31,所开薪资,2-6K
32,所开薪资,2-7K
33,所开薪资,2-3K
34,所开薪资,2-4K
35,所开薪资,2-4K
36,所开薪资,2-7K·13薪
37,所开薪资,2-3K
38,所开薪资,2-5K
39,所开薪资,2-5K
40,所开薪资,2-3K
41,所开薪资,2-5K
42,所开薪资,2-4K
43,所开薪资,2-4K
44,所开薪资,1-2K
45,所开薪资,2-3K
46,所开薪资,1-2K
47,所开薪资,1-4K
48,所开薪资,1-2K
49,所开薪资,2-4K
50,所开薪资,2-7K
51,所开薪资,2-5K
52,所开薪资,2-5K
53,所开薪资,2-4K
54,所开薪资,2-3K
55,所开薪资,2-3K
56,所开薪资,2-4K
57,所开薪资,2-3K
58,所开薪资,2-4K
59,所开薪资,2-4K
60,所开薪资,2-4K
61,所开薪资,2-3K
62,所开薪资,2-3K
63,所开薪资,1-4K
64,所开薪资,2-6K
65,所开薪资,2-7K
66,所开薪资,2-7K
67,所开薪资,2-5K
68,所开薪资,2-4K
69,所开薪资,2-6K
70,所开薪资,2-7K
71,所开薪资,2-5K
72,所开薪资,2-3K
73,所开薪资,2-3K
74,所开薪资,1-2K
75,所开薪资,2-3K
76,所开薪资,2-7K
77,所开薪资,2-4K
78,所开薪资,2-4K
79,所开薪资,1-2K
80,所开薪资,2-3K
81,所开薪资,2-4K
82,所开薪资,2-3K
83,所开薪资,2-5K
84,所开薪资,2-3K
85,所开薪资,2-5K
86,所开薪资,2-4K
87,所开薪资,2-5K
88,所开薪资,2-3K·13薪
89,所开薪资,2-4K
90,所开薪资,2-5K
91,所开薪资,2-3K
92,所开薪资,2-4K
93,所开薪资,2-3K
94,所开薪资,1-2K
95,所开薪资,2-4K
96,所开薪资,1-2K
97,所开薪资,2-5K
98,所开薪资,2-3K
99,所开薪资,2-3K
100,所开薪资,2-3K
101,所开薪资,2-5K
102,所开薪资,1-3K
103,所开薪资,1-5K
104,所开薪资,2-3K
105,所开薪资,1-2K
106,所开薪资,1-2K
107,所开薪资,2-7K
108,所开薪资,2-3K
109,所开薪资,2-3K
110,所开薪资,2-5K
111,所开薪资,2-5K
112,所开薪资,3-8K
113,所开薪资,2-4K
114,所开薪资,2-7K
115,所开薪资,1-5K
116,所开薪资,2-4K
117,所开薪资,2-7K
118,所开薪资,2-7K
119,所开薪资,2-4K·13薪
120,所开薪资,2-7K
121,所开薪资,1-5K·13薪
122,所开薪资,2-5K
123,所开薪资,2-3K
124,所开薪资,1-3K
125,所开薪资,2-5K
126,所开薪资,2-5K
127,所开薪资,2-7K
128,所开薪资,2-3K
129,所开薪资,2-4K
130,所开薪资,2-3K
131,所开薪资,2-4K
132,所开薪资,1-3K
133,所开薪资,1-3K
134,所开薪资,1-5K
135,所开薪资,1-5K
136,所开薪资,1-2K
137,所开薪资,2-7K
138,所开薪资,1-6K
139,所开薪资,1-4K
140,所开薪资,1-2K
141,所开薪资,2-3K
142,所开薪资,2-4K
143,所开薪资,1-6K
144,所开薪资,1-3K
145,所开薪资,2-4K
146,所开薪资,2-5K
147,所开薪资,2-7K
148,所开薪资,2-5K
149,所开薪资,2-5K
150,所开薪资,2-3K
151,所开薪资,2-3K
152,所开薪资,2-6K
153,所开薪资,2-5K
154,所开薪资,2-4K
155,所开薪资,2-4K
156,所开薪资,2-4K
157,所开薪资,2-3K
158,所开薪资,2-3K
159,所开薪资,2-3K
160,所开薪资,2-4K
161,所开薪资,1-3K
162,所开薪资,2-5K
163,所开薪资,1-2K
164,所开薪资,2-4K
165,所开薪资,2-7K
166,所开薪资,2-3K
167,所开薪资,2-4K
168,所开薪资,2-3K
169,所开薪资,1-3K
170,所开薪资,1-2K
171,所开薪资,2-3K·13薪
172,所开薪资,2-5K
173,所开薪资,2-3K
174,所开薪资,2-6K
175,所开薪资,2-5K
176,所开薪资,2-3K
177,所开薪资,2-4K
178,所开薪资,1-6K
179,所开薪资,2-4K
180,所开薪资,2-6K
181,所开薪资,2-3K
182,所开薪资,2-3K
183,所开薪资,2-6K
184,所开薪资,2-4K
185,所开薪资,2-4K
186,所开薪资,2-3K
187,所开薪资,2-4K
188,所开薪资,2-7K
189,所开薪资,1-2K
190,所开薪资,2-6K
191,所开薪资,2-3K
192,所开薪资,1-2K
193,所开薪资,1-2K
194,所开薪资,1-6K
195,所开薪资,2-4K
196,所开薪资,1-2K
197,所开薪资,2-4K
198,所开薪资,2-3K
199,所开薪资,2-4K
200,所开薪资,2-3K
201,所开薪资,2-5K
202,所开薪资,2-4K
203,所开薪资,1-2K
204,所开薪资,2-4K
205,所开薪资,2-3K
206,所开薪资,2-3K
207,所开薪资,2-4K
208,所开薪资,1-2K
209,所开薪资,2-6K
210,所开薪资,2-4K
211,所开薪资,2-3K
212,所开薪资,2-5K
213,所开薪资,1-3K·13薪
214,所开薪资,2-3K
215,所开薪资,2-5K
216,所开薪资,2-6K
217,所开薪资,2-4K·13薪
218,所开薪资,2-5K
219,所开薪资,2-6K
220,所开薪资,2-6K
221,所开薪资,2-7K
222,所开薪资,2-3K
223,所开薪资,2-5K
224,所开薪资,2-5K
225,所开薪资,2-4K
226,所开薪资,1-2K
227,所开薪资,1-2K
