职位id,关系,城市
0,,中山
1,,衡水
2,,郑州
3,,梅州
4,,武汉
5,,西安
6,,南昌
7,,遵义
8,,广州
9,,娄底
10,,南阳
11,,铜仁
12,,深圳
13,,长春
14,,郑州
15,,上海
16,,杭州
17,,潮州
18,,贵阳
19,,泉州
20,,深圳
21,,玉林
22,,南昌
23,,南京
24,,遵义
25,,无锡
26,,西安
27,,福州
28,,西安
29,,保定
30,,北海
31,,长春
32,,佛山
33,,龙岩
34,,长春
35,,广州
36,,无锡
37,,广元
38,,福州
39,,石家庄
40,,抚顺
41,,广州
42,,广州
43,,南京
44,,西安
45,,重庆
46,,
47,,深圳
48,,南昌
49,,洛阳
50,,鞍山
51,,大连
52,,晋城
53,,衢州
54,,武汉
55,,杭州
56,,南宁
57,,安庆
58,,南昌
59,,武汉
60,,北京
61,,开封
62,,济宁
63,,太原
64,,重庆
65,,包头
66,,成都
67,,重庆
68,,北京
69,,镇江
70,,自贡
71,,宿州
72,,武汉
73,,东营
74,,石家庄
75,,厦门
76,,焦作
77,,佛山
78,,成都
79,,南宁
80,,澄迈
81,,南阳
82,,长春
83,,柳州
84,,揭阳
85,,肇庆
86,,成都
87,,青岛
88,,杭州
89,,宜昌
90,,南平
91,,重庆
92,,福州
93,,南昌
94,,朝阳
95,,宁波
96,,大理
97,,金华
98,,深圳
99,,舟山
100,,滨州
101,,中山
102,,杭州
103,,泸州
104,,南昌
105,,西安
106,,太原
107,,南昌
108,,南宁
109,,嘉兴
110,,商洛
111,,广元
112,,沈阳
113,,深圳
114,,青岛
115,,珠海
116,,深圳
117,,新余
118,,秦皇
119,,南京
120,,惠州
121,,石家庄
122,,通化
123,,杭州
124,,深圳
125,,金华
126,,商洛
127,,秦皇
128,,沈阳
129,,惠州
130,,长春
131,,邢台
132,,潮州
133,,马鞍
134,,汉中
135,,大连
136,,西安
137,,自贡
138,,南阳
139,,河池
140,,绍兴
141,,辽源
142,,太原
143,,漳州
144,,成都
145,,成都
146,,咸阳
147,,嘉兴
148,,汕头
149,,盐城
150,,重庆
151,,南昌
152,,太原
153,,福州
154,,长春
155,,深圳
156,,上海
157,,大连
158,,衡阳
159,,石家庄
160,,北京
161,,广州
162,,江门
163,,保定
164,,福州
165,,西安
166,,济宁
167,,重庆
168,,深圳
169,,杭州
170,,邯郸
171,,成都
172,,太原
173,,贵阳
174,,深圳
175,,深圳
176,,哈尔滨
177,,丹东
178,,泉州
179,,绵阳
180,,柳州
181,,揭阳
182,,赣州
183,,杭州
184,,成都
185,,深圳
186,,赤峰
187,,长沙
188,,哈尔滨
189,,东营
190,,成都
191,,沈阳
192,,杭州
193,,大连
194,,石家庄
195,,衡水
196,,唐山
197,,昆明
198,,汕头
199,,福州
200,,南京
201,,郑州
202,,广州
203,,沈阳
204,,大连
205,,南充
206,,东莞
207,,哈尔滨
208,,石家庄
209,,呼和浩特
210,,曲靖
211,,镇江
212,,邯郸
213,,上海
214,,南京
215,,晋城
216,,大同
217,,大连
218,,广元
219,,乌鲁木齐
220,,长沙
221,,包头
222,,邢台
223,,成都
224,,邯郸
225,,包头
226,,福州
227,,朝阳
228,,上海
229,,盐城
230,,成都
231,,运城
232,,焦作
233,,无锡
234,,衡水
235,,肇庆
236,,襄阳
237,,鞍山
238,,曲靖
239,,北京
240,,福州
241,,南宁
242,,哈尔滨
243,,石家庄
244,,上海
245,,石家庄
246,,成都
247,,咸阳
248,,茂名
249,,南阳
250,,呼和浩特
251,,深圳
252,,南昌
253,,长沙
254,,南京
255,,沈阳
256,,乌鲁木齐
257,,鞍山
258,,沈阳
259,,广州
260,,柳州
261,,南宁
262,,大连
263,,琼海
264,,衡水
265,,石家庄
266,,宁波
267,,泉州
268,,长春
269,,淮北
270,,咸阳
271,,铜仁
272,,商洛
273,,南宁
274,,福州
275,,广州
276,,上海
277,,广州
278,,抚顺
279,,安庆
280,,葫芦
281,,武汉
282,,郑州
283,,南宁
284,,南阳
285,,宿州
286,,广州
287,,西安
288,,襄阳
289,,北京
290,,遵义
291,,嘉兴
292,,鞍山
293,,宜昌
294,,朝阳
295,,德州
296,,南京
297,,长春
298,,成都
299,,肇庆
300,,龙岩
301,,南宁
302,,广元
303,,深圳
304,,武汉
305,,运城
306,,揭阳
307,,重庆
308,,梅州
309,,南昌
310,,潮州
311,,衢州
312,,北京
313,,重庆
314,,金华
315,,成都
316,,潮州
317,,嘉兴
318,,杭州
319,,泸州
320,,宜昌
321,,东营
322,,南京
323,,柳州
324,,滨州
325,,福州
326,,大理
327,,重庆
328,,秦皇
329,,杭州
330,,长春
331,,长春
332,,南昌
333,,南平
334,,娄底
335,,舟山
336,,焦作
337,,无锡
338,,南阳
339,,南昌
340,,广州
341,,中山
342,,开封
343,,佛山
344,,大连
345,,澄迈
346,,太原
347,,哈尔滨
348,,衡水
349,,大连
350,,深圳
351,,南昌
352,,宁波
353,,青岛
354,,通化
355,,南昌
356,,沈阳
357,,珠海
358,,杭州
359,,深圳
360,,西安
361,,上海
362,,绍兴
363,,石家庄
364,,哈尔滨
365,,泉州
366,,上海
367,,呼和浩特
368,,南充
369,,成都
370,,绵阳
371,,东莞
372,,南京
373,,邢台
374,,江门
375,,大连
376,,宁波
377,,焦作
378,,厦门
379,,昆明
380,,长沙
381,,长沙
382,,长春
383,,运城
384,,鞍山
385,,石家庄
386,,嘉兴
387,,成都
388,,南昌
389,,广州
390,,邢台
391,,盐城
392,,曲靖
393,,马鞍
394,,郑州
395,,成都
396,,中山
397,,沈阳
398,,重庆
399,,成都
400,,丹东
401,,北京
402,,深圳
403,,福州
404,,深圳
405,,大同
406,,南阳
407,,昆明
408,,海口
409,,大连
410,,保定
411,,东营
412,,漳州
413,,大连
414,,石家庄
415,,贵阳
416,,福州
417,,深圳
418,,邯郸
419,,包头
420,,重庆
421,,南京
422,,衡水
423,,哈尔滨
424,,上海
425,,广元
426,,南昌
427,,柳州
428,,武汉
429,,哈尔滨
430,,福州
431,,西安
432,,大连
433,,阜阳
434,,唐山
435,,赤峰
436,,石家庄
437,,成都
438,,杭州
439,,成都
440,,茂名
441,,汕头
442,,大连
443,,嘉兴
444,,赣州
445,,深圳
446,,南宁
447,,石家庄
448,,咸阳
449,,大连
450,,四平
451,,杭州
452,,
453,,成都
454,,东营
455,,南昌
456,,广州
457,,广州
458,,武汉
459,,包头
460,,呼和浩特
461,,三门
462,,镇江
463,,北京
464,,南昌
465,,深圳
466,,无锡
467,,上海
468,,盐城
469,,太原
470,,石家庄
471,,淮北
472,,大同
473,,汉中
474,,曲靖
475,,泉州
476,,南昌
477,,资阳
478,,商丘
479,,临汾
480,,南宁
481,,淮北
482,,东莞
483,,南宁
484,,重庆
485,,乐山
486,,哈尔滨
487,,长春
488,,银川
489,,成都
490,,广州
491,,海口
492,,铁岭
493,,石家庄
494,,珠海
495,,苏州
496,,太原
497,,长春
498,,晋城
499,,朝阳
500,,宁德
501,,成都
502,,银川
503,,重庆
504,,沈阳
505,,西安
506,,广州
507,,广州
508,,南宁
509,,洛阳
510,,九江
511,,衡水
512,,驻马
513,,石家庄
514,,鞍山
515,,莆田
516,,温州
517,,西安
518,,吉安
519,,常德
520,,郑州
521,,杭州
522,,乌鲁木齐
523,,晋城
524,,武汉
525,,洛阳
526,,大连
527,,温州
528,,青岛
529,,柳州
530,,西安
531,,龙岩
532,,永州
533,,重庆
534,,漳州
535,,福州
536,,郴州
537,,南宁
538,,晋城
539,,洛阳
540,,宁波
541,,运城
542,,三门
543,,长沙
544,,湛江
545,,锡林
546,,十堰
547,,宁波
548,,广元
549,,东营
550,,南宁
551,,石家庄
