职位id,学历要求,学历
0,,大专
1,,大专
2,,大专
3,,大专
4,,大专
5,,大专
6,,大专
7,,大专
8,,大专
9,,大专
10,,大专
11,,大专
12,,大专
13,,大专
14,,大专
15,,大专
16,,大专
17,,大专
18,,大专
19,,大专
20,,大专
21,,大专
22,,大专
23,,大专
24,,大专
25,,大专
26,,大专
27,,大专
28,,大专
29,,大专
30,,大专
31,,大专
32,,大专
33,,大专
34,,大专
35,,大专
36,,大专
37,,大专
38,,大专
39,,大专
40,,大专
41,,大专
42,,大专
43,,大专
44,,大专
45,,大专
46,,大专
47,,大专
48,,大专
49,,大专
50,,大专
51,,大专
52,,大专
53,,大专
54,,大专
55,,大专
56,,大专
57,,大专
58,,大专
59,,大专
60,,大专
61,,大专
62,,大专
63,,大专
64,,大专
65,,大专
66,,大专
67,,大专
68,,大专
69,,大专
70,,大专
71,,大专
72,,大专
73,,大专
74,,大专
75,,大专
76,,大专
77,,大专
78,,大专
79,,大专
80,,大专
81,,大专
82,,大专
83,,大专
84,,大专
85,,大专
86,,大专
87,,大专
88,,大专
89,,大专
90,,大专
91,,大专
92,,大专
93,,大专
94,,大专
95,,大专
96,,大专
97,,大专
98,,大专
99,,大专
100,,大专
101,,大专
102,,大专
103,,大专
104,,大专
105,,大专
106,,大专
107,,大专
108,,大专
109,,大专
110,,大专
111,,大专
112,,大专
113,,大专
114,,大专
115,,大专
116,,大专
117,,大专
118,,大专
119,,大专
120,,大专
121,,大专
122,,大专
123,,大专
124,,大专
125,,大专
126,,大专
127,,大专
128,,大专
129,,大专
130,,大专
131,,大专
132,,大专
133,,大专
134,,大专
135,,大专
136,,大专
137,,大专
138,,大专
139,,大专
140,,大专
141,,大专
142,,大专
143,,大专
144,,大专
145,,大专
146,,大专
147,,大专
148,,大专
149,,大专
150,,大专
151,,大专
152,,大专
153,,大专
154,,大专
155,,大专
156,,大专
157,,大专
158,,大专
159,,大专
160,,大专
161,,大专
162,,大专
163,,大专
164,,大专
165,,大专
166,,大专
167,,大专
168,,大专
169,,大专
170,,大专
171,,大专
172,,大专
173,,大专
174,,大专
175,,大专
176,,大专
177,,大专
178,,大专
179,,大专
180,,大专
181,,大专
182,,大专
183,,大专
184,,大专
185,,大专
186,,大专
187,,大专
188,,大专
189,,大专
190,,大专
191,,大专
192,,大专
193,,大专
194,,大专
195,,大专
196,,大专
197,,大专
198,,大专
199,,大专
200,,大专
201,,大专
202,,大专
203,,大专
204,,大专
205,,大专
206,,大专
207,,大专
208,,大专
209,,大专
210,,大专
211,,大专
212,,大专
213,,大专
214,,大专
215,,大专
216,,大专
217,,大专
218,,大专
219,,大专
220,,大专
221,,大专
222,,大专
223,,大专
224,,大专
225,,大专
226,,大专
