职位id,关系,ZS
3,所需知识,ip
3,所需知识,大数据
5,所需知识,计算机
5,所需知识,通信
10,所需知识,计算机
12,所需知识,计算机
13,所需知识,计算机
18,所需知识,计算机
18,所需知识,软件工程
18,所需知识,通信
20,所需知识,ip
26,所需知识,自动化
28,所需知识,计算机
34,所需知识,计算机
35,所需知识,计算机
35,所需知识,设计模式
37,所需知识,计算机
38,所需知识,HTTP
38,所需知识,计算机
41,所需知识,ip
42,所需知识,W3C
43,所需知识,IP
44,所需知识,计算机
44,所需知识,软件工程
49,所需知识,计算机
50,所需知识,硬件
50,所需知识,软件工程
54,所需知识,计算机
55,所需知识,计算机
58,所需知识,计算机
59,所需知识,自动化
60,所需知识,计算机
63,所需知识,硬件
63,所需知识,电路
64,所需知识,IP
66,所需知识,数据结构
66,所需知识,计算机
68,所需知识,计算机
68,所需知识,通信
70,所需知识,控制
73,所需知识,算法
73,所需知识,数据结构
76,所需知识,计算机
76,所需知识,软件工程
78,所需知识,计算机
79,所需知识,IP
79,所需知识,计算机
81,所需知识,HTTP
81,所需知识,TCP
81,所需知识,IP
81,所需知识,http
81,所需知识,通信
82,所需知识,计算机
83,所需知识,自动化
85,所需知识,计算机
88,所需知识,计算机
89,所需知识,数据结构
89,所需知识,计算机
90,所需知识,计算机
92,所需知识,HTTP
93,所需知识,http
93,所需知识,W3C
94,所需知识,自动化
96,所需知识,计算机
100,所需知识,计算机
100,所需知识,软件工程
101,所需知识,计算机
104,所需知识,计算机
105,所需知识,计算机
108,所需知识,计算机
111,所需知识,计算机
111,所需知识,通信
112,所需知识,机械
115,所需知识,W3C
116,所需知识,计算机
120,所需知识,计算机
120,所需知识,W3C
123,所需知识,计算机
124,所需知识,面向对象
124,所需知识,计算机
124,所需知识,设计模式
135,所需知识,面向对象
137,所需知识,控制
138,所需知识,HTTP
138,所需知识,计算机
142,所需知识,设计模式
146,所需知识,IP
146,所需知识,网络协议
146,所需知识,VPN
147,所需知识,计算机
147,所需知识,操作系统
150,所需知识,算法
150,所需知识,数据结构
150,所需知识,计算机
150,所需知识,软件工程
151,所需知识,面向对象
151,所需知识,计算机
151,所需知识,设计模式
153,所需知识,HTTP
153,所需知识,计算机
154,所需知识,计算机
156,所需知识,计算机
158,所需知识,硬件
158,所需知识,计算机
160,所需知识,计算机
160,所需知识,通信
162,所需知识,计算机
162,所需知识,软件工程
168,所需知识,ip
171,所需知识,自动化
172,所需知识,计算机
174,所需知识,计算机
174,所需知识,软件工程
174,所需知识,通信
175,所需知识,自动化
176,所需知识,计算机
179,所需知识,计算机
180,所需知识,计算机
183,所需知识,HTTP
183,所需知识,http
184,所需知识,计算机
185,所需知识,计算机
186,所需知识,面向对象
188,所需知识,计算机
190,所需知识,HTTP
190,所需知识,算法
190,所需知识,计算机
190,所需知识,设计模式
190,所需知识,数据结构
191,所需知识,硬件
191,所需知识,计算机
196,所需知识,机械
202,所需知识,计算机
204,所需知识,自动化
204,所需知识,计算机
204,所需知识,软件工程
207,所需知识,计算机
214,所需知识,W3C
216,所需知识,计算机
217,所需知识,算法
217,所需知识,数据结构
217,所需知识,计算机
218,所需知识,计算机
218,所需知识,通信
227,所需知识,自动化
231,所需知识,计算机
233,所需知识,IP
235,所需知识,计算机
241,所需知识,硬件
241,所需知识,电路
242,所需知识,计算机
243,所需知识,计算机
249,所需知识,HTTP
249,所需知识,计算机
252,所需知识,ip
254,所需知识,W3C
257,所需知识,计算机
258,所需知识,机械
259,所需知识,HTTP
260,所需知识,自动化
261,所需知识,面向对象
261,所需知识,计算机
263,所需知识,计算机
264,所需知识,大数据
268,所需知识,硬件
268,所需知识,计算机
270,所需知识,IP
270,所需知识,网络协议
270,所需知识,VPN
273,所需知识,计算机
273,所需知识,软件工程
274,所需知识,HTTP
274,所需知识,计算机
275,所需知识,W3C
277,所需知识,计算机
277,所需知识,设计模式
284,所需知识,计算机
286,所需知识,ip
287,所需知识,计算机
288,所需知识,计算机
288,所需知识,网络协议
289,所需知识,计算机
289,所需知识,通信
292,所需知识,硬件
292,所需知识,软件工程
293,所需知识,计算机
294,所需知识,自动化
295,所需知识,面向对象
296,所需知识,IP
298,所需知识,数据结构
298,所需知识,计算机
299,所需知识,计算机
301,所需知识,计算机
302,所需知识,计算机
305,所需知识,算法
307,所需知识,IP
315,所需知识,计算机
320,所需知识,数据结构
320,所需知识,计算机
321,所需知识,算法
321,所需知识,数据结构
323,所需知识,自动化
324,所需知识,计算机
324,所需知识,软件工程
325,所需知识,HTTP
326,所需知识,计算机
329,所需知识,计算机
330,所需知识,计算机
331,所需知识,计算机
332,所需知识,http
332,所需知识,W3C
333,所需知识,计算机
334,所需知识,算法
334,所需知识,数据结构
334,所需知识,计算机
338,所需知识,HTTP
338,所需知识,TCP
338,所需知识,IP
338,所需知识,http
338,所需知识,通信
339,所需知识,计算机
340,所需知识,计算机
341,所需知识,计算机
347,所需知识,计算机
348,所需知识,大数据
350,所需知识,计算机
355,所需知识,计算机
357,所需知识,W3C
359,所需知识,自动化
360,所需知识,计算机
363,所需知识,计算机
364,所需知识,计算机
366,所需知识,计算机
367,所需知识,计算机
370,所需知识,计算机
374,所需知识,计算机
374,所需知识,软件工程
375,所需知识,面向对象
377,所需知识,计算机
377,所需知识,软件工程
380,所需知识,计算机
383,所需知识,计算机
384,所需知识,计算机
386,所需知识,计算机
386,所需知识,操作系统
387,所需知识,计算机
388,所需知识,面向对象
388,所需知识,计算机
388,所需知识,设计模式
389,所需知识,计算机
395,所需知识,计算机
395,所需知识,机械
396,所需知识,软件工程
402,所需知识,计算机
402,所需知识,软件工程
402,所需知识,通信
404,所需知识,面向对象
