职位id,关系,薪资
0,,2-4K·13薪
1,,2-4K
2,,1-6K
3,,1-4K
4,,2-3K
5,,2-3K
6,,2-4K
7,,2-3K
8,,2-4K
9,,1-3K
10,,2-6K
11,,1-2K
12,,2-4K
13,,2-4K
14,,1-6K
15,,2-4K·13薪
16,,2-5K
17,,2-5K
18,,2-4K
19,,1-4K
20,,2-7K
21,,1-2K
22,,1-4K
23,,2-3K
24,,2-3K
25,,2-4K
26,,2-5K
27,,2-4K
28,,2-4K
29,,2-6K
30,,2-3K
31,,2-6K
32,,2-7K
33,,2-3K
34,,2-4K
35,,2-4K
36,,2-7K·13薪
37,,2-3K
38,,2-5K
39,,2-5K
40,,2-3K
41,,2-5K
42,,2-4K
43,,2-4K
44,,1-2K
45,,2-3K
46,,1-2K
47,,1-4K
48,,1-2K
49,,2-4K
50,,2-7K
51,,2-5K
52,,2-5K
53,,2-4K
54,,2-3K
55,,2-3K
56,,2-4K
57,,2-3K
58,,2-4K
59,,2-4K
60,,2-4K
61,,2-3K
62,,2-3K
63,,1-4K
64,,2-6K
65,,2-7K
66,,2-7K
67,,2-5K
68,,2-4K
69,,2-6K
70,,2-7K
71,,2-5K
72,,2-3K
73,,2-3K
74,,1-2K
75,,2-3K
76,,2-7K
77,,2-4K
78,,2-4K
79,,1-2K
80,,2-3K
81,,2-4K
82,,2-3K
83,,2-5K
84,,2-3K
85,,2-5K
86,,2-4K
87,,2-5K
88,,2-3K·13薪
89,,2-4K
90,,2-5K
91,,2-3K
92,,2-4K
93,,2-3K
94,,1-2K
95,,2-4K
96,,1-2K
97,,2-5K
98,,2-3K
99,,2-3K
100,,2-3K
101,,2-5K
102,,1-3K
103,,1-5K
104,,2-3K
105,,1-2K
106,,1-2K
107,,2-7K
108,,2-3K
109,,2-3K
110,,2-5K
111,,2-5K
112,,3-8K
113,,2-4K
114,,2-7K
115,,1-5K
116,,2-4K
117,,2-7K
118,,2-7K
119,,2-4K·13薪
120,,2-7K
121,,1-5K·13薪
122,,2-5K
123,,2-3K
124,,1-3K
125,,2-5K
126,,2-5K
127,,2-7K
128,,2-3K
129,,2-4K
130,,2-3K
131,,2-4K
132,,1-3K
133,,1-3K
134,,1-5K
135,,1-5K
136,,1-2K
137,,2-7K
138,,1-6K
139,,1-4K
140,,1-2K
141,,2-3K
142,,2-4K
143,,1-6K
144,,1-3K
145,,2-4K
146,,2-5K
147,,2-7K
148,,2-5K
149,,2-5K
150,,2-3K
151,,2-3K
152,,2-6K
153,,2-5K
154,,2-4K
155,,2-4K
156,,2-4K
157,,2-3K
158,,2-3K
159,,2-3K
160,,2-4K
161,,1-3K
162,,2-5K
163,,1-2K
164,,2-4K
165,,2-7K
166,,2-3K
167,,2-4K
168,,2-3K
169,,1-3K
170,,1-2K
171,,2-3K·13薪
172,,2-5K
173,,2-3K
174,,2-6K
175,,2-5K
176,,2-3K
177,,2-4K
178,,1-6K
179,,2-4K
180,,2-6K
181,,2-3K
182,,2-3K
183,,2-6K
184,,2-4K
185,,2-4K
186,,2-3K
187,,2-4K
188,,2-7K
189,,1-2K
190,,2-6K
191,,2-3K
192,,1-2K
193,,1-2K
194,,1-6K
195,,2-4K
196,,1-2K
197,,2-4K
198,,2-3K
199,,2-4K
200,,2-3K
201,,2-5K
202,,2-4K
203,,1-2K
204,,2-4K
205,,2-3K
206,,2-3K
207,,2-4K
208,,1-2K
209,,2-6K
210,,2-4K
211,,2-3K
212,,2-5K
213,,1-3K·13薪
214,,2-3K
215,,2-5K
216,,2-6K
217,,2-4K·13薪
218,,2-5K
219,,2-6K
220,,2-6K
221,,2-7K
222,,2-3K
223,,2-5K
224,,2-5K
225,,2-4K
226,,1-2K
227,,1-2K
228,,2-3K
229,,2-7K
230,,2-4K
231,,2-4K
232,,2-3K
233,,2-3K
234,,2-5K
235,,2-5K
236,,2-3K
237,,2-6K
238,,2-3K
239,,1-4K
240,,2-4K
241,,2-3K
242,,2-3K
243,,2-3K
244,,2-4K
245,,2-6K
246,,2-4K
247,,2-5K
248,,2-4K
249,,1-6K
250,,2-6K
251,,2-7K
252,,1-2K
253,,2-4K
254,,2-3K
255,,2-7K·13薪
256,,2-6K
257,,2-6K
258,,2-4K
259,,1-6K
260,,2-5K
261,,2-3K
262,,2-7K
263,,2-3K
264,,1-4K
265,,2-3K
266,,2-3K
267,,1-2K
268,,2-4K
269,,1-2K
270,,2-5K
271,,1-2K
272,,2-5K
273,,2-4K
274,,2-5K
275,,2-4K
276,,2-4K·13薪
277,,2-4K
278,,2-3K
279,,2-3K
280,,1-5K
281,,2-3K
282,,1-6K
